capability_id,operation,mode,provider_id,node_id,base_energy_j,energy_per_work_unit_j,base_latency_ms,expected_quality,reliability,semantic_loss,privacy_risk,irreversibility,monetary_cost_base,required_scopes,allowed_data_classes,license,executor
cap.csv.generated-local,csv.profile,GENERATED_CODE,local-owner,local,3.5,0.001,18,0.997,0.998,0.0,0.01,0.0,0.0,code:allowlisted,PUBLIC|INTERNAL|SENSITIVE,Apache-2.0,builtin
cap.csv.local-api,csv.profile,LOCAL_API,analytics-service,workstation-a,8.0,0.0015,55,0.999,0.999,0.0,0.02,0.0,0.0,api:analytics,PUBLIC|INTERNAL|SENSITIVE,INTERNAL-SERVICE,builtin
cap.csv.remote-api,csv.profile,REMOTE_API,data-provider-1,cloud-data-1,14,0.002,300,0.999,0.995,0.0,0.5,0.01,0.01,network:data-provider|billing:paid,PUBLIC|INTERNAL,COMMERCIAL-API,builtin
cap.csv.spreadsheet-gui,csv.profile,GUI,desktop-owner,workstation-a,230,0.04,11000,0.98,0.9,0.01,0.15,0.03,0.0,gui:spreadsheet|desktop:control,PUBLIC|INTERNAL,DESKTOP-SOFTWARE-EULA,dry_run
cap.hash.federated,data.hash.sha256,FEDERATED_NODE,utility-node,node-utility,2.5,0.0002,90,1.0,0.999,0,0.25,0,0.001,federation:borrow,PUBLIC|INTERNAL,METERED-SERVICE,builtin
cap.hash.local,data.hash.sha256,LOCAL_API,local-owner,local,0.8,0.0001,1,1.0,1.0,0,0,0,0.0,crypto:hash,PUBLIC|INTERNAL|SENSITIVE,Python-PSF,builtin
cap.json.local,json.select,GENERATED_CODE,local-owner,local,1.2,0.0004,3,1.0,1.0,0,0,0,0.0,code:allowlisted,PUBLIC|INTERNAL|SENSITIVE,Apache-2.0,builtin
cap.math.local,math.evaluate,GENERATED_CODE,local-owner,local,0.9,0.0002,2,1.0,1.0,0,0,0,0.0,code:allowlisted,PUBLIC|INTERNAL|SENSITIVE,Apache-2.0,builtin
cap.report.gui,report.compose.markdown,GUI,desktop-owner,workstation-a,260,0.05,14000,0.96,0.87,0.02,0.15,0.04,0.0,gui:office|desktop:control,PUBLIC|INTERNAL,DESKTOP-SOFTWARE-EULA,dry_run
cap.report.local,report.compose.markdown,GENERATED_CODE,local-owner,local,2.5,0.001,10,0.99,0.999,0.01,0.01,0,0.0,code:allowlisted,PUBLIC|INTERNAL|SENSITIVE,Apache-2.0,builtin
cap.summary.generated-local,text.summarize.extractive,GENERATED_CODE,local-owner,local,4.2,0.002,25,0.83,0.995,0.14,0.01,0.0,0.0,code:allowlisted,PUBLIC|INTERNAL|SENSITIVE,Apache-2.0,builtin
cap.summary.model-native,text.summarize.extractive,MODEL_NATIVE,local-model-owner,local,55,0.015,650,0.89,0.94,0.08,0.05,0.0,0.004,model:invoke,PUBLIC|INTERNAL|SENSITIVE,MODEL-PROVIDER-TERMS,builtin
cap.summary.office-gui,text.summarize.extractive,GUI,desktop-owner,workstation-a,190,0.03,9000,0.91,0.88,0.06,0.18,0.03,0.0,gui:office|desktop:control,PUBLIC|INTERNAL,DESKTOP-SOFTWARE-EULA,dry_run
cap.summary.remote-premium,text.summarize.extractive,REMOTE_API,provider-premium-ai,cloud-premium,18,0.009,480,0.97,0.985,0.03,0.42,0.02,0.02,network:remote-ai|billing:paid,PUBLIC|INTERNAL,COMMERCIAL-API,builtin
cap.temperature.internalized,unit.convert.temperature,GENERATED_CODE,local-owner,local,0.7,0.0001,0.8,1.0,0.9999,0,0,0,0.0,code:allowlisted,PUBLIC|INTERNAL|SENSITIVE,Apache-2.0,builtin
cap.temperature.remote,unit.convert.temperature,REMOTE_API,open-utils-provider,cloud-utils,10,0.001,180,1.0,0.995,0,0.2,0,0.003,network:open-utils,PUBLIC|INTERNAL,CC0-SPEC,builtin
cap.translate.browser,text.translate.demo,BROWSER,browser-service,workstation-a,125,0.025,5500,0.92,0.86,0.07,0.62,0.03,0.0,browser:control|network:web,PUBLIC,WEB-TERMS,dry_run
cap.translate.model-native,text.translate.demo,MODEL_NATIVE,local-model-owner,local,68,0.02,720,0.9,0.94,0.09,0.05,0,0.0,model:invoke,PUBLIC|INTERNAL|SENSITIVE,MODEL-PROVIDER-TERMS,dry_run
cap.translate.remote-expert,text.translate.demo,FEDERATED_NODE,lingua-node,node-lingua,20,0.012,520,0.985,0.99,0.018,0.38,0.01,0.06,federation:borrow|billing:paid,PUBLIC|INTERNAL,METERED-SERVICE,dry_run
